The Protector|Action|5.7
The Mean Season|Crime|6.1
Turk 182|Comedy|6.0
The Official Story|Drama|7.8
Krush Groove|Comedy|6.5
He-Man and She-Ra: The Secret of the Sword|Animation|7.3
Warning Sign|Drama|6.1
Creator|Comedy|6.2
Taipei Story|Drama|7.7
Otac na sluzbenom putu|Drama|7.8
The Aviator|Adventure|5.5
Starchaser: The Legend of Orin|Animation|6.5
Maxie|Comedy|5.4
DEFCON-4|Action|4.5
The Care Bears Movie|Animation|5.7
Sylvester|Drama|6.4
Radioactive Dreams|Action|5.6
Twice in a Lifetime|Drama|6.5
Dance with a Stranger|Biography|6.7
Water|Adventure|6.1
One Magic Christmas|Family|6.5
Echo Park|Comedy|5.8
O.C. and Stiggs|Comedy|5.4
The Good Father|Drama|6.2
Fever Pitch|Drama|4.1
The Doctor and the Devils|Crime|6.1
Head Office|Comedy|5.4
Eleni|Drama|7.0
Dreamchild|Biography|6.8
Defense of the Realm|Thriller|6.5
Bad Medicine|Comedy|4.6
Wetherby|Drama|6.8
Compromising Positions|Comedy|5.9
Rainbow Brite and the Star Stealer|Animation|6.9
Alamo Bay|Action|6.0
Three Men and a Cradle|Comedy|6.6
In the Shadow of Kilimanjaro|Action|5.1
Rappin'|Drama|4.1
Bal na vodi|Drama|7.6
Certain Fury|Action|5.2
Bliss|Comedy|6.9
Code Name: Emerald|Action|5.9
Colonel Redl|Biography|7.5
Thunder Run|Action|5.0
Marie|Biography|6.7
Movers & Shakers|Comedy|4.2
La Cage aux Folles 3: The Wedding|Comedy|4.7
James Joyce's Women|Drama|6.1
Turtle Diary|Comedy|6.9
Maccheroni|Comedy|6.4
My Man Adam|Comedy|5.3
Sudden Death|Action|4.8
One Woman or Two|Comedy|5.1
Joshua Then and Now|Comedy|6.6
On the Edge|Drama|6.8
The Girl in the Picture|Comedy|6.3
Here Come the Littles|Animation|6.9
Came a Hot Friday|Adventure|6.6
Wuthering Heights|Drama|6.5
The Frog Prince|Comedy|6.6
Lune de miel|Thriller|4.6
Tea in the Harem|Drama|6.9
Mr. Love|Comedy|6.4
Death of an Angel|Drama|5.4
